,2009,2010,2011,2012,2013,2014,2015,2016
Vila Viçosa,41,31,40,26,26,31,35,33
Albufeira,71,81,79,83,62,88,78,84
Alcoutim,31,30,29,34,22,24,21,27
Aljezur,17,20,28,24,18,22,25,25
Castro Marim,23,30,32,20,20,22,26,42
Faro,172,176,153,153,146,168,153,156
Lagoa,55,50,60,55,54,51,55,57
Lagos,73,67,89,90,96,96,71,89
Loulé,228,209,220,214,173,165,175,225
Monchique,20,45,31,28,34,29,32,31
Olhão,144,130,105,128,132,113,114,131
Portimão,149,142,136,154,139,158,185,156
São Brás de Alportel,42,46,32,36,29,28,26,22
Silves,102,99,113,127,110,114,128,108
Tavira,121,112,108,92,94,94,93,99
Vila do Bispo,11,19,20,16,13,29,14,21
Vila Real de Santo António,66,68,57,61,57,56,65,63
Vila do Porto,17,20,11,18,11,23,16,17
Lagoa [R.A.A.],34,30,38,41,45,31,32,31
Nordeste,14,34,14,18,15,20,23,15
Ponta Delgada,189,177,192,171,175,183,201,189
Povoação,32,35,21,16,22,18,17,22
Ribeira Grande,76,56,83,71,104,79,54,92
Vila Franca do Campo,39,41,31,35,24,28,31,30
Angra do Heroísmo,146,141,128,99,111,122,129,126
Vila da Praia da Vitória,66,61,60,46,68,54,76,72
Santa Cruz da Graciosa,27,21,20,31,22,31,13,19
Calheta [R.A.A.],23,22,17,14,19,8,19,21
Velas,30,32,32,33,31,37,27,30
Lajes do Pico,22,22,31,25,13,19,18,20
Madalena,25,18,17,16,20,39,45,24
São Roque do Pico,20,20,13,12,13,18,19,11
Horta,61,59,64,60,36,42,46,56
Lajes das Flores,8,9,4,4,0,0,6,0
Santa Cruz das Flores,9,7,7,8,10,6,0,10
Corvo,4,3,0,2,0,0,0,0
Calheta [R.A.M.],55,60,44,43,68,66,49,62
Câmara de Lobos,56,63,50,64,52,62,61,68
Funchal,305,313,287,293,280,320,320,327
Machico,58,47,40,34,43,71,54,48
Ponta do Sol,33,30,20,37,26,22,28,33
Porto Moniz,16,21,19,18,13,24,18,11
Ribeira Brava,38,47,52,38,26,47,50,52
Santa Cruz,76,66,84,89,63,87,83,71
Santana,38,29,21,35,20,33,36,27
São Vicente,25,19,31,25,26,31,22,21
Porto Santo,5,11,11,9,13,17,16,15
,,,,,,,,
,,,,,,,,
,,,,,,,,
 , , , , , , , , 
