,2009,2010,2011,2012,2013,2014,2015,2016
Mira,5,6,8,5,6,7,9,9
Miranda do Corvo,8,0,0,9,7,5,11,6
Montemor-o-Velho,6,7,10,11,10,11,11,7
Mortágua,4,5,0,1,2,7,3,5
Oliveira do Hospital,15,8,5,8,3,7,0,7
Pampilhosa da Serra,6,5,3,7,3,0,1,2
Penacova,7,7,6,6,6,5,5,3
Penela,0,4,3,4,4,5,1,3
Soure,7,9,9,9,12,11,15,9
Tábua,8,7,8,3,10,8,6,7
Vila Nova de Poiares,0,0,5,1,0,3,1,3
Alvaiázere,3,9,0,9,0,6,3,3
Ansião,8,6,3,10,8,11,11,12
Batalha,7,5,7,3,8,10,7,5
Castanheira de Pêra,0,0,4,1,0,2,0,4
Figueiró dos Vinhos,7,5,5,5,5,5,4,5
Leiria,72,49,55,71,60,56,61,62
Marinha Grande,18,24,18,24,14,25,18,16
Pedrógão Grande,0,3,0,3,8,3,0,9
Pombal,16,32,24,26,29,38,29,38
Porto de Mós,17,12,15,9,12,18,17,15
Aguiar da Beira,8,6,8,4,2,4,7,4
Carregal do Sal,0,0,3,4,2,3,3,8
Castro Daire,11,9,7,5,4,5,2,6
Mangualde,6,10,6,12,5,7,6,4
Nelas,5,6,4,5,4,4,7,12
Oliveira de Frades,6,6,0,6,6,4,4,3
Penalva do Castelo,0,4,5,4,3,0,3,3
Santa Comba Dão,8,6,3,8,10,0,10,9
São Pedro do Sul,5,12,5,8,14,15,9,19
Sátão,7,9,8,9,12,8,6,5
Tondela,9,12,12,11,8,17,15,12
Vila Nova de Paiva,0,0,3,1,4,3,6,4
Viseu,12,28,28,30,29,33,36,38
Vouzela,4,11,3,8,2,7,4,6
Castelo Branco,38,27,29,48,38,42,36,31
Idanha-a-Nova,11,14,8,8,11,8,6,18
Oleiros,12,0,14,3,10,6,11,2
Penamacor,4,7,0,7,9,7,1,6
Proença-a-Nova,0,7,0,6,6,7,3,1
Vila Velha de Ródão,7,9,0,5,3,5,4,1
Abrantes,27,26,31,32,22,17,23,20
Alcanena,11,9,9,9,6,5,7,14
Constância,0,0,0,1,2,0,1,3
Entroncamento,6,9,6,7,6,9,7,7
Ferreira do Zêzere,7,12,8,3,6,5,10,4
Mação,10,13,8,5,4,3,5,6
Ourém,27,24,14,20,22,22,26,30
Sardoal,7,0,0,0,0,0,4,0
Sertã,17,10,8,9,19,11,4,6
Tomar,25,33,26,29,20,21,30,33
Torres Novas,19,21,17,30,27,13,21,25
Vila de Rei,0,0,0,4,0,0,0,3
Vila Nova da Barquinha,0,5,0,7,5,2,0,3
Almeida,7,0,4,9,6,11,5,5
Belmonte,6,3,0,3,5,5,1,4
Celorico da Beira,9,9,9,6,7,6,5,5
Covilhã,19,22,20,28,25,22,28,32
Figueira de Castelo Rodrigo,8,5,4,6,9,9,7,4
Fornos de Algodres,3,0,5,7,5,7,2,3
Fundão,10,11,13,13,17,10,17,8
Gouveia,13,12,7,7,7,12,12,9
Guarda,23,15,24,24,16,17,15,22
Manteigas,0,0,4,3,3,5,0,3
Mêda,7,3,5,3,6,5,8,0
Pinhel,6,5,0,4,4,8,3,6
Sabugal,5,10,6,14,6,16,10,15
Seia,13,0,10,16,11,9,10,8
Trancoso,0,6,0,4,0,7,0,10
Alcochete,11,7,13,6,12,11,8,9
Almada,84,93,73,88,77,73,90,81
Amadora,60,80,66,68,55,55,51,62
Barreiro,31,30,36,40,35,48,42,42
Cascais,64,72,75,84,59,48,61,64
Lisboa,266,297,258,298,251,230,249,259
Loures,71,66,70,82,73,83,91,69
Mafra,18,13,21,29,19,20,18,20
Moita,26,31,25,22,33,43,37,40
Montijo,31,27,27,27,29,16,18,16
Odivelas,45,38,36,47,42,55,50,42
Oeiras,42,53,53,57,45,45,49,47
Palmela,27,36,21,27,25,25,35,31
Seixal,53,50,60,66,51,72,58,91
Sesimbra,19,24,28,20,18,23,25,27
Setúbal,43,40,37,50,45,62,61,60
Sintra,85,114,94,101,107,124,106,102
Vila Franca de Xira,55,79,52,53,56,54,51,58
Alcácer do Sal,7,7,11,16,11,11,8,5
Grândola,9,6,0,10,12,8,5,7
Odemira,11,11,11,14,10,9,13,10
Santiago do Cacém,12,11,10,22,11,14,15,13
Sines,6,7,0,2,8,5,5,7
Aljustrel,13,8,4,15,8,7,8,5
Almodôvar,3,10,3,5,14,0,9,0
Alvito,10,0,4,7,3,6,5,4
Barrancos,0,0,0,3,2,0,0,0
Beja,28,27,19,24,16,16,18,16
Castro Verde,5,5,6,8,9,10,8,5
Cuba,6,0,0,4,6,5,5,6
Ferreira do Alentejo,5,5,6,5,5,4,5,4
Mértola,0,5,7,4,2,2,5,9
Moura,9,6,8,10,8,10,15,12
Ourique,0,0,3,7,8,4,0,5
Serpa,7,15,9,18,12,16,15,17
Vidigueira,0,0,7,5,6,0,5,8
Almeirim,19,26,11,14,16,18,11,6
Alpiarça,8,9,5,7,5,6,11,5
Azambuja,12,20,15,23,13,9,17,8
Benavente,19,17,17,16,18,10,18,15
Cartaxo,13,17,16,13,10,10,14,6
Chamusca,12,11,17,9,10,6,4,8
Coruche,26,24,14,19,23,23,11,13
Golegã,4,3,5,2,3,5,3,2
Rio Maior,13,16,15,20,12,14,18,14
Salvaterra de Magos,14,14,12,15,12,18,11,13
Santarém,43,45,47,47,24,34,24,35
Alter do Chão,4,5,6,5,2,4,2,5
Arronches,3,5,7,5,3,3,2,3
Avis,4,4,3,3,2,0,6,6
Campo Maior,8,7,7,8,2,2,6,4
Castelo de Vide,0,0,0,5,2,0,0,0
Crato,9,3,5,2,4,6,9,5
Elvas,21,19,20,20,10,19,16,14
Fronteira,6,9,5,4,6,3,0,0
Gavião,5,3,6,3,3,3,3,2
Marvão,0,0,0,3,3,0,5,0
Monforte,3,3,0,3,7,0,0,4
Nisa,10,9,9,2,4,4,5,2
Ponte de Sor,19,24,26,11,17,13,16,14
Portalegre,14,15,11,18,12,13,10,13
Sousel,5,9,0,7,0,0,11,8
Alandroal,4,8,0,6,0,3,6,7
Arraiolos,12,6,5,8,8,5,6,9
Borba,4,8,5,6,6,3,6,7
Estremoz,4,13,10,12,6,4,8,6
Évora,35,42,42,42,41,39,38,44
Montemor-o-Novo,16,24,26,22,16,17,17,28
Mora,7,9,9,6,8,5,3,4
Mourão,0,0,0,1,0,2,4,5
Portel,8,0,0,5,7,7,4,8
Redondo,7,8,8,5,4,5,2,5
Reguengos de Monsaraz,5,9,9,1,7,5,3,13
Vendas Novas,5,3,5,9,5,9,6,7
Viana do Alentejo,8,7,9,5,10,6,6,7
Vila Viçosa,7,6,14,8,7,7,8,13
Albufeira,10,8,9,10,13,7,5,10
Alcoutim,0,0,0,0,0,0,2,0
Aljezur,3,3,0,6,3,0,5,0
Castro Marim,7,4,4,9,2,3,2,6
Faro,37,18,18,20,23,26,14,24
Lagoa,6,3,5,5,10,3,4,8
Lagos,7,7,7,11,12,9,15,13
Loulé,23,28,17,26,26,27,22,20
Monchique,8,0,5,4,2,2,4,0
Olhão,19,23,17,17,13,14,26,9
Portimão,21,15,17,11,13,14,12,16
São Brás de Alportel,5,4,4,6,2,0,5,2
Silves,14,7,9,9,11,13,12,11
Tavira,13,15,20,15,13,14,16,11
Vila do Bispo,0,0,0,1,3,4,2,1
Vila Real de Santo António,5,4,10,9,18,11,13,8
Vila do Porto,3,5,0,3,11,7,3,2
Lagoa [R.A.A.],10,5,6,0,6,7,6,7
Nordeste,0,7,9,4,5,0,3,0
Ponta Delgada,30,43,32,30,36,30,36,21
Povoação,8,4,7,8,4,5,5,6
Ribeira Grande,32,20,26,14,17,17,14,16
Vila Franca do Campo,13,4,7,2,10,4,4,3
Angra do Heroísmo,10,13,20,10,23,9,14,22
Vila da Praia da Vitória,5,10,11,13,12,6,12,15
Santa Cruz da Graciosa,7,4,0,1,4,0,4,2
Calheta [R.A.A.],0,3,0,2,5,2,8,5
Velas,0,4,0,3,0,5,3,2
Lajes do Pico,3,5,6,4,7,4,5,6
Madalena,8,3,6,3,5,5,3,4
São Roque do Pico,0,5,4,3,0,2,0,0
Horta,8,8,8,5,8,6,4,8
Lajes das Flores,0,0,0,0,0,0,4,0
Santa Cruz das Flores,0,0,0,1,0,0,0,0
Corvo,0,0,0,0,0,0,0,0
Calheta [R.A.M.],24,11,9,7,5,6,8,9
Câmara de Lobos,19,19,13,15,18,15,21,26
Funchal,72,56,49,43,44,48,35,44
Machico,13,15,5,9,13,4,9,7
Ponta do Sol,7,8,7,7,7,10,5,6
Porto Moniz,4,5,0,5,3,0,0,0
Ribeira Brava,15,6,11,9,4,7,4,7
Santa Cruz,12,18,20,9,9,14,11,5
Santana,11,5,8,6,3,0,5,7
São Vicente,5,10,5,6,7,9,4,7
Porto Santo,5,6,0,5,4,5,0,0
,,,,,,,,
,,,,,,,,
,,,,,,,,
 , , , , , , , , 
