,2009,2010,2011,2012,2013,2014,2015,2016
Leiria,355,371,377,397,405,410,420,435
Marinha Grande,33,33,35,31,28,29,30,31
Pedrógão Grande,1,1,1,1,1,2,2,3
Pombal,69,73,78,88,91,100,102,107
Porto de Mós,19,19,19,20,21,22,22,25
Aguiar da Beira,4,4,6,6,6,6,7,7
Carregal do Sal,10,11,10,11,10,11,13,13
Castro Daire,10,10,10,11,13,11,11,14
Mangualde,26,26,27,26,31,35,34,33
Nelas,22,25,26,26,26,27,27,29
Oliveira de Frades,10,10,10,12,12,15,15,15
Penalva do Castelo,5,4,4,5,6,10,12,12
Santa Comba Dão,20,20,20,21,20,24,24,25
São Pedro do Sul,26,28,31,32,36,38,41,46
Sátão,13,14,14,16,17,17,20,20
Tondela,43,45,47,47,51,51,54,59
Vila Nova de Paiva,6,6,7,6,7,7,8,7
Viseu,477,504,527,544,564,600,629,669
Vouzela,7,8,8,11,13,13,12,12
Castelo Branco,194,195,194,204,215,224,227,239
Idanha-a-Nova,5,6,6,6,6,6,6,6
Oleiros,0,0,0,0,0,0,1,2
Penamacor,6,7,7,8,7,7,6,6
Proença-a-Nova,9,10,10,9,10,10,11,12
Vila Velha de Ródão,2,2,3,3,3,4,4,5
Abrantes,81,80,88,93,95,99,102,101
Alcanena,15,14,15,18,19,20,22,22
Constância,3,3,2,2,2,3,4,5
Entroncamento,44,46,51,54,59,60,63,67
Ferreira do Zêzere,2,2,1,2,3,2,2,3
Mação,3,3,5,5,5,5,5,5
Ourém,34,39,43,48,52,51,55,57
Sardoal,4,4,5,6,6,8,8,7
Sertã,12,14,13,13,13,13,13,15
Tomar,85,84,91,89,90,95,98,104
Torres Novas,83,89,92,96,102,102,107,116
Vila de Rei,3,3,3,3,3,3,3,3
Vila Nova da Barquinha,6,6,6,6,5,5,5,6
Almeida,9,9,12,14,15,16,16,17
Belmonte,7,7,10,9,9,8,7,6
Celorico da Beira,3,3,3,3,3,2,2,2
Covilhã,157,160,167,167,174,187,190,197
Figueira de Castelo Rodrigo,10,11,12,11,11,11,12,11
Fornos de Algodres,8,9,9,10,11,12,12,13
Fundão,45,47,50,49,46,47,47,52
Gouveia,28,30,27,25,22,26,27,26
Guarda,177,181,184,186,198,211,228,236
Manteigas,5,6,6,6,6,6,6,6
Mêda,4,4,5,6,6,5,5,5
Pinhel,11,13,12,12,13,13,15,16
Sabugal,11,11,12,13,13,13,13,14
Seia,45,45,44,45,48,53,56,61
Trancoso,11,13,14,13,14,17,18,21
Alcochete,34,37,41,40,43,44,47,52
Almada,618,630,653,651,664,686,722,743
Amadora,504,502,507,511,510,514,533,529
Barreiro,201,204,204,211,209,220,228,234
Cascais,1285,1328,1357,1398,1432,1462,1507,1533
Lisboa,7840,7987,8205,8344,8626,8794,8984,9240
Loures,702,722,729,747,620,633,639,655
Mafra,117,128,144,152,155,156,164,170
Moita,67,72,68,67,70,74,76,73
Montijo,91,98,105,113,116,123,129,133
Odivelas,373,392,403,417,423,430,445,458
Oeiras,1483,1485,1508,1540,1564,1597,1623,1661
Palmela,132,134,133,136,143,147,162,168
Seixal,250,250,259,262,270,292,301,324
Sesimbra,64,68,75,79,83,83,88,92
Setúbal,448,457,476,487,497,512,526,547
Sintra,773,779,792,824,848,879,919,940
Vila Franca de Xira,189,193,197,202,209,214,224,232
Alcácer do Sal,8,8,9,11,11,13,11,14
Grândola,12,11,10,13,14,17,16,17
Odemira,14,14,14,20,23,24,25,24
Santiago do Cacém,57,64,67,70,75,80,85,90
Sines,25,28,30,33,33,36,35,35
Aljustrel,8,11,11,11,11,10,11,13
Almodôvar,3,3,2,5,6,10,10,10
Alvito,2,4,3,2,2,3,3,4
Barrancos,2,1,2,3,2,2,2,2
Beja,162,163,161,172,172,182,183,188
Castro Verde,4,4,4,4,5,3,3,3
Cuba,5,6,6,6,6,6,6,8
Ferreira do Alentejo,9,8,9,9,10,8,9,8
Mértola,3,2,2,4,4,4,5,6
Moura,16,17,18,19,19,24,24,26
