,2009,2010,2011,2012,2013,2014,2015,2016
Anadia,29640,29352,29083,28807,28501,28240,28064,27899
Aveiro,77834,78274,78278,77884,77452,77082,76909,77062
Estarreja,27258,27094,26944,26794,26633,26472,26364,26290
Ílhavo,38491,38583,38590,38529,38456,38342,38320,38387
Murtosa,10459,10559,10567,10511,10463,10410,10395,10374
Oliveira do Bairro,22785,22950,23115,23279,23400,23455,23564,23704
Ovar,55564,55487,55340,55169,55007,54799,54643,54544
Sever do Vouga,12554,12449,12322,12189,12063,11954,11880,11777
Vagos,22800,22848,22891,22895,22889,22860,22864,22873
Arganil,12419,12262,12105,11939,11760,11596,11477,11375
Cantanhede,36959,36778,36614,36480,36312,36101,35923,35742
Coimbra,144617,143945,142475,140256,138058,136278,135085,134463
Condeixa-a-Nova,16858,17029,17172,17277,17346,17357,17376,17441
Figueira da Foz,62458,62329,62091,61712,61291,60849,60518,60186
Góis,4383,4313,4230,4154,4100,4048,4001,3961
Lousã,17387,17544,17584,17494,17385,17284,17234,17216
Mealhada,20578,20501,20425,20366,20299,20204,20156,20128
Mira,12577,12525,12454,12367,12292,12211,12136,12064
Miranda do Corvo,13163,13148,13113,13071,13016,12945,12883,12853
Montemor-o-Velho,26080,26164,26173,26093,25980,25824,25707,25624
Mortágua,9770,9679,9583,9485,9392,9292,9212,9130
Oliveira do Hospital,21162,20993,20811,20621,20407,20193,20038,19876
Pampilhosa da Serra,4629,4548,4469,4372,4286,4227,4170,4128
Penacova,15546,15375,15189,14989,14783,14592,14453,14300
Penela,6078,6023,5953,5866,5778,5696,5635,5584
Soure,19588,19405,19166,18887,18620,18365,18129,17913
Tábua,12225,12152,12063,11972,11893,11806,11742,11675
Vila Nova de Poiares,7261,7280,7278,7237,7174,7112,7069,7033
Alvaiázere,7479,7372,7272,7189,7102,6999,6923,6842
Ansião,13306,13220,13101,12966,12835,12708,12609,12512
Batalha,15733,15796,15828,15823,15812,15797,15816,15839
Castanheira de Pêra,3289,3234,3164,3074,2983,2902,2833,2769
Figueiró dos Vinhos,6374,6254,6148,6067,5986,5899,5834,5784
Leiria,126261,126722,126839,126551,126163,125769,125641,125622
Marinha Grande,38322,38594,38734,38725,38705,38617,38573,38587
Pedrógão Grande,4017,3965,3891,3806,3724,3647,3585,3539
Pombal,55687,55469,55179,54821,54413,53995,53696,53288
Porto de Mós,24397,24383,24324,24214,24082,23927,23818,23713
Aguiar da Beira,5628,5539,5454,5359,5266,5173,5081,4987
Carregal do Sal,9947,9879,9811,9748,9684,9627,9589,9526
Castro Daire,15654,15468,15276,15079,14883,14714,14595,14448
Mangualde,20125,20001,19851,19703,19559,19393,19271,19145
Nelas,14139,14071,13994,13875,13734,13617,13518,13413
Oliveira de Frades,10348,10301,10260,10227,10180,10121,10075,10030
Penalva do Castelo,8162,8034,7930,7844,7737,7629,7536,7440
Santa Comba Dão,11774,11669,11543,11396,11242,11088,10958,10831
São Pedro do Sul,17188,16977,16788,16608,16429,16251,16115,15970
Sátão,12653,12548,12431,12316,12204,12079,11980,11892
Tondela,29438,29165,28874,28611,28328,28008,27775,27508
Vila Nova de Paiva,5346,5238,5159,5107,5043,4978,4929,4871
Viseu,98638,99114,99203,98936,98601,98259,98129,98007
Vouzela,10819,10656,10522,10405,10282,10161,10068,9982
Castelo Branco,56201,56221,55909,55303,54707,54125,53674,53317
Idanha-a-Nova,10094,9883,9665,9453,9224,9002,8804,8626
Oleiros,5885,5791,5698,5596,5494,5402,5315,5234
Penamacor,5875,5786,5659,5514,5384,5264,5160,5061
Proença-a-Nova,8567,8415,8292,8178,8053,7914,7790,7682
Vila Velha de Ródão,3615,3562,3517,3464,3407,3354,3304,3261
Abrantes,39959,39637,39148,38516,37895,37352,36909,36493
Alcanena,14022,13932,13809,13648,13490,13346,13239,13131
Constância,4019,4039,4052,4053,4041,4017,3995,3987
Entroncamento,19982,20147,20270,20372,20433,20454,20515,20683
Ferreira do Zêzere,8772,8679,8598,8511,8409,8313,8230,8159
Mação,7559,7451,7309,7162,7018,6870,6746,6642
Ourém,46189,46071,45943,45762,45545,45290,45082,44894
Sardoal,3983,3960,3946,3929,3894,3856,3829,3807
Sertã,16064,15977,15852,15691,15517,15354,15226,15074
Tomar,41146,40911,40497,39937,39376,38833,38382,37989
Torres Novas,36876,36825,36701,36464,36197,35897,35663,35504
Vila de Rei,3466,3468,3468,3462,3452,3428,3399,3374
