"X","X2009","X2010","X2011","X2012","X2013","X2014","X2015","X2016"
"Vila Nova de Poiares",12,12,14,16,14,19,22,22
"Alvaiázere",16,11,12,11,15,17,22,25
"Ansião",19,23,26,29,34,31,34,38
"Batalha",30,35,37,39,42,41,42,47
"Castanheira de Pêra",6,5,6,5,6,2,2,5
"Figueiró dos Vinhos",17,18,17,16,16,16,17,19
"Leiria",756,775,800,808,833,845,922,982
"Marinha Grande",60,66,75,78,84,83,87,90
"Pedrógão Grande",9,6,7,6,7,8,8,12
"Pombal",177,184,189,215,209,213,198,194
"Porto de Mós",50,54,52,50,54,49,56,58
"Aguiar da Beira",15,18,21,22,21,23,23,21
"Carregal do Sal",18,21,20,23,26,26,27,27
"Castro Daire",35,48,40,42,41,42,46,46
"Mangualde",61,62,61,63,59,57,51,59
"Nelas",33,33,33,37,42,42,34,37
"Oliveira de Frades",29,35,38,38,38,35,34,30
"Penalva do Castelo",19,20,20,24,23,22,25,23
"Santa Comba Dão",38,40,40,42,39,40,35,36
"São Pedro do Sul",50,60,62,65,64,63,69,67
"Sátão",55,59,58,57,52,48,50,56
"Tondela",124,130,139,130,136,151,143,138
"Vila Nova de Paiva",18,19,20,22,20,18,16,17
"Viseu",1081,1107,1131,1156,1136,1143,1183,1229
"Vouzela",28,32,38,39,40,36,30,37
"Castelo Branco",481,484,488,502,520,500,519,532
"Idanha-a-Nova",23,25,28,35,35,34,31,31
"Oleiros",17,17,15,15,15,18,18,17
"Penamacor",11,9,11,14,14,15,17,15
"Proença-a-Nova",26,25,26,30,32,37,36,37
"Vila Velha de Ródão",7,7,8,8,8,9,8,6
"Abrantes",282,281,273,273,275,274,275,274
"Alcanena",24,26,28,28,27,30,33,33
"Constância",9,11,10,9,9,11,11,14
"Entroncamento",71,78,83,82,90,86,97,97
"Ferreira do Zêzere",9,10,9,10,14,15,14,13
"Mação",21,20,17,16,18,18,18,17
"Ourém",96,107,103,105,107,110,120,133
"Sardoal",1,3,4,5,6,9,7,10
"Sertã",36,40,42,46,48,46,41,44
"Tomar",205,208,194,183,181,186,197,202
"Torres Novas",372,410,441,436,427,420,433,436
"Vila de Rei",8,10,11,16,17,16,23,21
"Vila Nova da Barquinha",13,10,10,11,12,14,18,20
"Almeida",26,29,33,28,26,24,23,25
"Belmonte",13,16,16,15,17,19,20,22
"Celorico da Beira",21,25,29,31,33,19,20,22
"Covilhã",450,464,469,481,488,483,490,494
"Figueira de Castelo Rodrigo",21,24,26,24,26,28,30,29
"Fornos de Algodres",23,21,17,17,17,18,20,18
"Fundão",106,112,114,116,123,122,120,118
"Gouveia",35,39,46,47,51,53,54,56
"Guarda",516,535,539,557,559,577,589,615
"Manteigas",9,9,12,13,14,13,14,16
"Mêda",15,21,22,22,24,23,23,25
"Pinhel",40,45,42,41,43,42,39,42
"Sabugal",35,38,45,44,41,40,36,34
"Seia",113,123,130,141,140,137,138,143
"Trancoso",26,26,26,22,22,26,27,29
"Alcochete",28,27,33,32,34,34,36,39
"Almada",1143,1226,1290,1310,1312,1317,1294,1296
"Amadora",826,918,1028,1046,1086,1099,1166,1193
"Barreiro",586,587,586,582,575,607,582,600
"Cascais",668,746,783,787,795,802,840,883
"Lisboa",9501,9812,9805,9788,9673,9728,9613,9507
"Loures",268,285,323,345,380,468,626,694
"Mafra",96,94,105,110,113,126,147,173
"Moita",129,121,130,134,140,115,126,138
"Montijo",144,177,192,191,200,218,253,256
"Odivelas",314,312,330,350,360,331,342,388
"Oeiras",658,699,713,716,731,753,758,782
"Palmela",92,94,100,108,116,90,94,107
"Seixal",274,286,310,324,341,360,393,412
"Sesimbra",66,72,82,91,91,71,75,99
"Setúbal",825,884,913,926,918,966,1003,1027
"Sintra",642,624,691,746,772,788,832,914
"Vila Franca de Xira",478,485,506,519,518,551,582,615
"Alcácer do Sal",20,24,26,30,30,33,33,31
"Grândola",31,31,31,32,33,30,28,33
"Odemira",36,41,51,58,59,60,61,64
"Santiago do Cacém",180,203,219,229,231,238,245,257
"Sines",23,25,28,28,29,28,33,33
"Aljustrel",23,24,21,23,22,29,29,27
"Almodôvar",10,15,19,20,23,24,26,29
"Alvito",8,8,8,8,7,7,8,9
"Barrancos",18,23,22,29,32,30,27,29
"Beja",457,494,497,498,514,508,526,529
"Castro Verde",20,21,29,27,31,35,32,32
"Cuba",12,9,10,12,16,20,24,26
"Ferreira do Alentejo",13,15,23,25,24,26,26,23
"Mértola",12,15,17,18,21,24,24,19
"Moura",39,36,40,45,46,50,43,45
"Ourique",16,15,17,17,17,18,17,17
"Serpa",61,52,49,48,49,51,54,55
"Vidigueira",15,10,8,10,12,10,12,14
"Almeirim",31,29,30,38,40,47,47,49
"Alpiarça",14,14,13,15,13,18,17,17
"Azambuja",30,29,29,32,34,35,32,34
"Benavente",33,33,38,41,45,38,47,55
"Cartaxo",42,42,50,51,47,45,52,54
"Chamusca",24,27,29,28,30,32,35,35
"Coruche",39,38,38,37,44,48,48,49
"Golegã",14,15,17,16,15,13,13,16
"Rio Maior",34,34,38,44,44,47,51,48
"Salvaterra de Magos",23,23,23,23,25,26,31,31
"Santarém",629,671,690,731,746,745,751,768
"Alter do Chão",7,10,10,11,18,18,18,14
"Arronches",11,10,10,12,17,24,22,27
"Avis",7,9,10,8,8,7,8,8
"Campo Maior",24,30,33,30,28,26,26,26
"Castelo de Vide",14,14,14,14,14,12,14,14
"Crato",17,16,16,15,16,12,15,16
"Elvas",147,159,166,164,168,161,166,162
"Fronteira",7,8,10,11,10,10,9,9
"Gavião",12,11,11,16,17,16,16,16
"Marvão",8,6,5,7,7,8,9,9
"Monforte",13,11,15,13,12,14,21,21
"Nisa",21,21,22,24,28,27,26,25
"Ponte de Sor",43,46,55,52,54,53,52,60
"Portalegre",355,378,393,401,398,392,403,416
"Sousel",11,10,11,13,13,13,13,15
"Alandroal",19,20,24,24,25,16,15,16
"Arraiolos",14,11,13,14,16,16,20,19
"Borba",11,18,22,21,21,21,26,25
"Estremoz",31,33,36,39,40,40,47,43
"Évora",684,725,720,741,748,751,753,769
"Montemor-o-Novo",52,58,61,61,62,60,61,65
"Mora",10,11,14,16,18,17,17,17
"Mourão",3,2,2,2,3,3,2,2
"Portel",10,9,11,9,12,9,11,15
"Redondo",20,15,14,15,15,15,19,23
"Reguengos de Monsaraz",3,7,10,12,15,29,33,32
"Vendas Novas",22,20,22,23,28,31,28,28
"Viana do Alentejo",12,1,12,11,11,14,20,21
"Vila Viçosa",24,23,27,25,25,26,24,24
"Albufeira",73,74,83,81,86,89,87,88
"Alcoutim",4,4,5,6,6,6,7,7
"Aljezur",10,14,14,16,16,19,19,21
"Castro Marim",9,10,12,11,11,11,11,14
"Faro",837,896,926,949,951,969,1060,1097
"Lagoa",31,46,53,56,58,54,23,56
"Lagos",107,101,108,111,114,117,122,120
"Loulé",106,117,128,126,135,142,139,145
"Monchique",15,14,14,14,14,15,15,13
"Olhão",85,84,86,87,89,94,96,110
"Portimão",589,656,688,705,710,713,682,689
"São Brás de Alportel",26,25,27,29,27,31,32,30
"Silves",54,61,72,76,80,82,80,94
"Tavira",50,51,48,53,54,60,68,72
"Vila do Bispo",6,13,13,15,15,18,15,14
"Vila Real de Santo António",47,48,48,45,49,52,48,57
"Vila do Porto",24,24,23,25,24,28,25,23
"Lagoa [R.A.A.]",187,19,11,15,21,23,59,25
"Nordeste",16,16,21,21,23,23,24,24
"Ponta Delgada",525,706,742,753,763,792,800,812
"Povoação",18,18,20,16,18,18,22,26
"Ribeira Grande",81,88,82,85,83,83,85,89
"Vila Franca do Campo",36,38,41,42,45,47,49,50
"Angra do Heroísmo",352,478,500,517,522,519,525,539
"Vila da Praia da Vitória",176,69,65,78,87,95,103,112
"Santa Cruz da Graciosa",22,23,20,20,19,22,21,21
"Calheta [R.A.A.]",22,25,26,26,27,12,14,14
"Velas",14,16,16,15,15,19,18,17
"Lajes do Pico",1,8,21,19,18,15,17,18
"Madalena",18,33,22,24,26,26,27,27
"São Roque do Pico",32,21,19,19,20,23,23,23
"Horta",172,185,190,185,190,191,193,194
"Lajes das Flores",2,2,1,1,0,0,1,0
"Santa Cruz das Flores",14,15,16,17,17,17,18,16
"Corvo",0,0,0,0,0,0,0,0
"Calheta [R.A.M.]",38,43,41,44,41,54,49,34
"Câmara de Lobos",67,89,102,103,96,170,119,101
"Funchal",1623,1649,1664,1692,1622,1063,1363,1630
"Machico",61,68,77,83,82,174,130,98
"Ponta do Sol",11,11,11,10,11,34,32,18
"Porto Moniz",19,23,22,24,20,18,20,16
"Ribeira Brava",20,22,27,10,30,61,55,35
"Santa Cruz",77,92,111,118,122,377,209,141
"Santana",23,28,30,32,30,75,63,39
"São Vicente",13,14,19,20,21,30,23,23
"Porto Santo",9,9,8,11,18,21,21,13
