Alenquer,89234,82771,77262,70744,75765,69928,65117,60151
Arruda dos Vinhos,31406,28572,29576,31923,26332,23765,25021,25809
Bombarral,41436,38919,46671,47337,36927,34600,40778,40239
Cadaval,51275,29901,30247,27151,44439,26452,26545,23926
Caldas da Rainha,180636,211178,218137,219883,153798,175422,180519,180600
Lourinhã,82664,83140,82813,76348,68115,69203,69754,63284
Nazaré,53372,65830,61940,54339,46562,56742,53434,43996
Óbidos,30917,26122,23124,21483,27330,23602,20684,18759
Peniche,68242,63078,61311,60182,58989,54566,52398,51769
Sobral de Monte Agraço,28606,21481,19624,19785,24225,18779,16858,16211
Torres Vedras,228644,220779,211533,199326,189777,185727,176966,165023
Águeda,155004,292404,164209,157203,136318,272562,142465,135069
Albergaria-a-Velha,94455,90306,95810,88028,81700,79247,83598,75741
Anadia,93653,216229,118217,113846,81688,203714,104212,99851
Aveiro,196877,243656,247637,232969,157341,203680,205171,190901
Estarreja,75095,90090,81470,72878,64545,78815,71355,63137
Ílhavo,110053,149777,144826,131360,87783,124398,120841,108153
Murtosa,41969,42481,38887,37724,32199,37351,34112,32548
Oliveira do Bairro,79426,187558,97222,84993,70149,176938,86279,74343
Ovar,167619,208016,200334,183189,131094,168886,165635,152947
Sever do Vouga,34106,73349,33088,40186,29058,68642,29044,35402
Vagos,71103,83877,83248,79864,56345,69321,67323,65465
Arganil,35328,41702,40243,38843,30772,37905,35689,34100
Cantanhede,130578,152568,154744,128126,108950,132689,134344,109915
Coimbra,428356,487980,491042,460436,337870,412060,415050,386375
Condeixa-a-Nova,52132,59825,58579,58432,41417,49512,49070,48277
Figueira da Foz,134777,149029,143922,162003,112479,122851,125702,140753
Góis,12318,12759,15369,14157,11234,11624,14283,12823
Lousã,84113,63077,83935,83467,69436,54890,70865,70043
Mealhada,55743,69593,69275,62914,46478,59667,58439,52931
Mira,38435,44262,43853,40293,33461,39704,39421,35867
Miranda do Corvo,41828,44179,42550,40095,37334,39342,37853,35345
Montemor-o-Velho,68835,76215,83943,80706,57157,70771,71859,68704
Mortágua,37522,43539,39108,34013,33640,39371,35126,30552
Oliveira do Hospital,53636,67909,62126,59301,46395,60704,55861,53754
Pampilhosa da Serra,12800,6327,18875,17587,11626,5769,17226,16291
Penacova,36803,47133,44456,47432,29912,38232,36880,38597
Penela,20141,21998,22092,20530,17219,19097,19598,17849
Soure,77501,84133,82276,77720,66105,76639,72765,68069
Tábua,34105,59841,46724,42750,27190,51724,38395,35025
Vila Nova de Poiares,24302,24111,26259,22112,21858,21497,24158,19635
Alvaiázere,40900,21944,19641,18516,15968,19887,17847,16652
Ansião,39312,45126,41874,40924,34490,40804,37808,36800
Batalha,34868,69690,46130,47646,28093,64022,39343,38943
Castanheira de Pêra,12198,14132,14206,11685,10892,12941,12876,10615
Figueiró dos Vinhos,28838,31712,30318,27710,24951,28371,27409,25126
Leiria,312520,387969,377794,344686,252006,333690,321274,291503
Marinha Grande,63024,80030,72672,71328,51372,69753,63169,62039
Pedrógão Grande,20297,22591,20084,19281,18164,20572,18720,17949
Pombal,163128,199764,190247,169617,140430,173680,167218,150146
Porto de Mós,67224,80360,78063,73705,55582,70052,68105,63335
Aguiar da Beira,10172,17333,17891,18348,8518,14984,15423,16171
Carregal do Sal,32343,42953,35051,34367,28051,38875,30778,30185
Castro Daire,35847,49459,53107,51536,30233,44900,45346,44256
Mangualde,47402,61285,58509,53629,40318,53844,50565,46526
Nelas,40489,50586,49642,44535,35400,45264,44001,38975
Oliveira de Frades,35128,41156,39152,34202,25647,33071,32625,28654
Penalva do Castelo,25625,22427,20600,21484,20451,18976,17766,18445
Santa Comba Dão,36642,43024,43988,42339,31496,38608,38614,36712
São Pedro do Sul,61098,66661,64256,58699,51487,59769,56439,51372
Sátão,41719,48507,46603,40938,32920,40673,39899,35435
Tondela,82788,57237,98938,84815,72799,47255,89468,76234
Vila Nova de Paiva,18950,22327,18915,17313,15065,18962,16547,15440
Viseu,257678,315757,315976,299669,195493,256732,258415,243402
Vouzela,46025,53464,46530,39434,38137,46520,40691,35070
Castelo Branco,125996,163747,169528,172901,106698,143364,149036,148497
Idanha-a-Nova,27020,33965,28750,26788,24590,28419,26157,24539
Oleiros,20072,15274,14045,14810,18551,14388,13152,14003
Penamacor,16330,18772,17810,15661,14658,17503,16254,14175
Proença-a-Nova,37257,39033,36271,31566,30789,35754,32491,28429
Vila Velha de Ródão,13194,13127,12552,10462,11875,12156,11388,9590
Abrantes,123935,114068,115273,111711,110303,102592,103866,99859
Alcanena,62258,52651,60238,53512,53488,46423,52477,47028
Constância,13412,13685,13422,13494,11732,12015,11519,11043
Entroncamento,55751,47172,55643,56922,47521,39513,45267,45700
Ferreira do Zêzere,40730,29388,29239,25378,35527,26217,26108,22595
Mação,24313,21691,19818,22389,22140,19993,17918,20052
Ourém,173343,136390,140017,120510,146500,117654,119503,103673
Sardoal,10097,10055,11281,13922,8794,9019,10265,12635
Sertã,50942,60592,56657,50530,43504,53715,50237,45066
Tomar,156246,135784,137711,132332,137514,119902,120484,115703
Torres Novas,114802,94591,82494,90880,100364,82102,70783,78568
Vila de Rei,10285,11521,10820,10328,9110,10505,9745,9286
Vila Nova da Barquinha,30118,30273,29907,27313,24921,25360,24769,22337
Almeida,21164,25826,24730,23343,19093,23795,22954,21112
Belmonte,16068,17782,17464,20264,13609,15769,15541,17734
Celorico da Beira,23372,26385,25928,30150,19396,22832,21971,24617
