"Anos","X2009","X2010","X2011","X2012"
"Belmonte",253,207,181,221
"Celorico da Beira",429,405,394,514
"Covilhã",1705,1419,1029,984
"Figueira de Castelo Rodrigo",220,266,342,336
"Fornos de Algodres",382,338,331,459
"Fundão",572,473,347,297
"Gouveia",745,648,664,568
"Guarda",1424,1737,1743,1634
"Manteigas",126,117,71,88
"Mêda",211,148,212,128
"Pinhel",367,242,253,281
"Sabugal",206,175,165,183
"Seia",1046,1125,880,955
"Trancoso",290,264,300,252
"Alcochete",618,568,611,639
"Almada",15456,14497,12890,13239
"Amadora",12058,11271,10513,10331
"Barreiro",4656,4688,4826,5284
"Cascais",6357,6795,6497,7231
"Lisboa",31354,30992,28141,27960
"Loures",12152,12824,12444,11976
"Mafra",3481,3585,3412,3188
"Moita",5253,5237,5031,4573
"Montijo",2736,2874,2869,3078
"Odivelas",7720,8801,8445,8905
"Oeiras",8193,8323,7814,8164
"Palmela",3600,3737,3578,3858
"Seixal",8933,8865,8439,8431
"Sesimbra",2698,0,2994,3005
"Setúbal",9296,9287,8907,8138
"Sintra",21067,20816,20545,19388
"Vila Franca de Xira",4233,4353,4161,4287
"Alcácer do Sal",776,918,721,633
"Grândola",720,764,754,758
"Odemira",1254,1731,1874,1447
"Santiago do Cacém",1545,1629,1886,1665
"Sines",908,1360,1471,1303
"Aljustrel",597,682,739,727
"Almodôvar",291,471,504,363
"Alvito",112,175,184,186
"Barrancos",78,85,86,39
"Beja",2310,2689,2792,3068
"Castro Verde",432,501,492,521
"Cuba",285,199,284,285
"Ferreira do Alentejo",403,391,337,559
"Mértola",285,351,353,301
"Moura",723,710,731,852
"Ourique",341,370,435,504
"Serpa",880,858,1065,1032
"Vidigueira",410,214,432,330
"Almeirim",1020,1171,1116,975
"Alpiarça",319,292,359,268
"Azambuja",636,1034,872,907
"Benavente",1589,1751,1815,1447
"Cartaxo",1558,1990,1595,1593
"Chamusca",581,633,528,565
"Coruche",1438,1476,1238,1192
"Golegã",308,379,455,327
"Rio Maior",3627,1466,1507,1213
"Salvaterra de Magos",1358,1436,1054,1076
"Santarém",3627,4004,3621,3676
"Alter do Chão",159,246,209,151
"Arronches",94,111,93,125
"Avis",177,324,204,116
"Campo Maior",628,855,1046,1023
"Castelo de Vide",148,126,151,142
"Crato",143,110,73,84
